,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
18,18,"King Edward's School, Birmingham",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82515/table/33/king-edwards-school-birmingham,Birmingham,,38.7,77.6,92.7,23,86.6,42=,Private,"King Edward's School (KES) is an independent day school for boys in the British public school tradition, located in Edgbaston, Birmingham.","Edgbaston Park Road, Birmingham B15 2UA","Edgbaston Park Road, Birmingham, B15 2UA",52.450589,-1.922959903,Boys (11 to 18),,,,,871 (11-18),www.kes.org.uk,"Day K &pound 4,885 (11-18)",,1,0,0,0,4885,14655,1,
19,19,Lady Eleanor Holles,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82228/table/33/lady-eleanor-holles,London,,35.6,77.5,94.2,16,92.5,19=,Private,"Lady Eleanor Holles School is an independent day school for girls in Hampton, London. It consists of a small junior school and a larger senior school, ...","DeVere, Fitzwilliam, Holles and Tyrconnel","Hanworth Road, London, Middlesex, TW12 3HF",51.4298306,-0.366525959,Girls (7 to 18),,,,,970 (7-18),www.lehs.org.uk,"Day K &pound 7,246 (11-18)",,0,1,0,0,7246,21738,1,
20,20,"Wilson's School, Wallington",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83684/table/34/wilsons-school-wallington,Wallington,Selective (100%),32.6,77.1,96,2,87.5,6,State,"One of the best schools in the country, embracing its motto of NON SIBI SED OMNIBUS for over 400 years. Wallington, Surrey wilsons.","Mollison Dr, Wallington SM6 9JW","Mollison Drive, Wallington, Surrey, SM6 9JW",51.35921065,-0.127165815,Boys (11 to 18),,,,,"1,290",https://www.wilsons.school,,,1,0,0,0,0,0,1,
21,21,The Godolphin and Latymer School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82558/table/33/the-godolphin-and-latymer-school,London,,38,76.1,93.5,20,97,5,Private,"The Godolphin and Latymer School is an independent day school for girls in Hammersmith, West London. Godolphin and Latymer School. Godolphin and Latymer ...","Iffley Rd, London W6 0PG","Iffley Road, Hammersmith, London, W6 0PG",51.4953,0.2301,Girls (11 to 18),,,,,823 (11-18),www.godolphinandlatymer.com,"Day K &pound 7,695 - K &pound 7,918 (11-18)",,0,1,0,0,7918,23754,1,
22,22,"Royal Grammar School, Guildford",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82512/table/33/royal-grammar-school-guildford,Guildford,,38.1,75.8,93.6,18=,90.2,32,Private,"The Royal Grammar School, Guildford (originally 'The Free School'), also known as the RGS, is a selective independent day school for boys in Guildford, ...","High St, Guildford GU1 3BB","High Street, Guildford, Surrey, GU1 3BB",51.237178,-0.569523568,Boys (11 to 18),,,,,974 (11-18),https://www.rgsg.co.uk,"Day K &pound 6,345 (11-18)",,1,0,0,0,6345,19035,1,
23,23,Ruthin School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82482/table/33/ruthin-school,Ruthin,,32.6,75.8,93.6,18=,63.4,158,Private,"Ruthin School is a public school (i.e. independent school) located on the outskirts of Ruthin, the county town of Denbighshire, North Wales.","Mold Rd, Ruthin LL15 1EE","Mold Road, Ruthin, Wales, LL15 1EE",53.11862865,-3.299941654,Mixed (11 to 18). Mixed sixth form,"GBP 12,400–15,000","GBP 13,500",Good,Co-educational,374 (11-18),www.ruthinschool.co.uk,"Day K &pound 4,133 - K &pound 5,000 (11-18)","Boarding K &pound 11,000 - K &pound 12,900 (11-18)",0,0,1,1,5000,15000,1,1
24,24,St Mary's School Ascot,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82584/table/33/st-marys-school-ascot,Ascot,,35,75.7,93.1,21,94.8,12,Private,"St Mary's School Ascot is a leading Roman Catholic boarding school for girls aged between 11 and 18 years. It is a 45-minute journey from London, ...","St Mary's Road Ascot, Ascot SL5 9JF","St Mary's Road, Ascot, Berkshire, SL5 9JF",51.39308085,-0.672070778,Girls (11 to 18),,,,,396 (11-18),www.st-marys-ascot.co.uk,"Day K &pound 10,155 (11-18) includes lunch","Boarding K &pound 14,260 (11-18)",0,1,0,0,10155,30465,1,1
25,25,Haberdashers' Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82580/table/33/haberdashers-girls-school,Elstree,,30.5,75,94.9,13,94.1,14,Private,"Founded in 1875, Haberdashers' Aske's School for Girls is a leading independent day school for girls aged 4-18 and our academic results place us amongst the ...","Aldenham Rd, Elstree, Radlett, Borehamwood WD6 3BT","Aldenham Road, Elstree, Hertfordshire, WD6 3BT",51.6542477,-0.3098923,Girls (4 to 18),,,,,"1,162 (4-18)",www.habsgirls.org.uk,"Day K &pound 6,690 (11-18)",,0,1,0,0,6690,20070,1,
26,26,The Henrietta Barnett School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83672/table/34/the-henrietta-barnett-school,London,Selective (100%),37,74.5,93,4,95.3,1,State,The Henrietta Barnett School is a grammar school with academy status primarily for girls in Hampstead Garden Suburb in London. The Good Schools Guide called ...,"Central Square, London NW11 7BN","Central Square, Hampstead Garden Suburb, London, NW11 7BN",51.58125595,-0.188663274,Girls (11 to 18),,,,,802,www.hbschool.org.uk,,,0,1,0,0,0,0,1,
27,27,The Tiffin Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83675/table/34/the-tiffin-girls-school,Kingston upon Thames,Selective (100%),34.6,74.1,92.1,6,93.8,2,State,"Tiffin Girls' School is a girls' selective school in Kingston upon Thames, south-west London, England; it moved from voluntary aided status to become an ...","Richmond Rd, Kingston upon Thames KT2 5PL","Richmond Road, Kingston upon Thames, Surrey, KT2 5PL",51.42526195,-0.302991851,Girls (11 to 18),,,,,"1,217",www.tiffingirls.kingston.sch.uk,,,0,1,0,0,0,0,1,
28,28,South Hampstead High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82528/table/33/south-hampstead-high-school-gdst,Hampstead,,29.4,73.9,90.4,40,92.1,21,Private,,"3 Maresfield Gardens, London NW3 5SS","3 Maresfield Gardens, Swiss Cottage, Hampstead, NW3 5SS",51.5462,0.1773,Girls (4 to 18),,,,,943 (4-18),www.shhs.gdst.net,"Day K &pound 6,498 (11-18)",,0,1,0,0,6498,19494,1,
29,29,Hampton School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82511/table/33/hampton-school,Hampton,,36.8,73.8,91.7,29,92.7,16=,Private,"Hampton School (formerly Hampton Grammar School) is an independent boys' day school in Hampton, Greater London, England. It is regarded as one of the top ...","Hanworth Rd, Hampton TW12 3EZ","Hanworth Road, Hampton, Middlesex, TW12 3HD",51.42932075,-0.370451521,Boys (3 to 18),"GBP 21,900–21,900","GBP 22,000",Excellent,All boys,"1,351 (11-18)",www.hamptonschool.org.uk,"Day K &pound 7,300 (11-18)",,1,0,0,0,7300,21900,1,
30,30,Highgate School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82374/table/33/highgate-school,Highgate,,39.7,73.8,89.8,46=,89.8,35,Private,"Highgate School, formally Sir Roger Cholmeley's School at Highgate, is an English co-educational, fee-charging, independent day school, founded in 1565 in ...","North Rd, London N6 4AY","North Road, Highgate, Highgate, N6 4AY",51.57326675,-0.155533326,Mixed (3 to 18). Mixed sixth form,"GBP 18,985–21,920","GBP 20,500",Excellent,Co-educational,"1,881 (4-18)",www.highgateschool.org.uk,"Day K &pound 7,200 - K &pound 7,360 (11-18) includes lunch",,0,0,1,1,7360,22080,1,
31,31,Alleyn's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82564/table/33/alleyns-school,Dulwich,,36.2,73.7,90.9,32,90.6,28=,Private,"Alleyn's School is a 4–18 co-educational, independent, Church of England, day school and sixth form in Dulwich, London, England. It is a registered charity ...","400 Townley Rd, London SE22 8SU","Townley Road, Dulwich, Dulwich, SE22 8SU",51.45510745,-0.081078877,Mixed (4 to 18). Mixed sixth form,,,,,"1,087 (11-18)",www.alleyns.org.uk,"Day K &pound 7,125 (11-18)",,0,0,1,1,7125,21375,1,
32,32,City of London School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82534/table/33/city-of-london-school,London,,40.1,73.7,89.3,52,91.4,22=,Private,"The City of London School, also known as CLS and City, is an independent day school for boys in the City of London, England, on the banks of the River ...","107 Queen Victoria St, London EC4V 3AL","Queen Victoria Street, London, EC4V 3AL",51.51133415,-0.099097883,Boys (10 to 18),"GBP 18,939–18,939","GBP 19,000",Excellent,All boys,991 (10-18),www.cityoflondonschool.org.uk,"Day K &pound 6,665 (10-18)",,1,0,0,0,6665,19995,1,
33,33,Withington Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82583/table/33/withington-girls-school,Manchester,,35,73.6,91.8,28,91.4,22=,Private,"Withington Girls' School is an independent day school in Fallowfield, Manchester, United Kingdom, providing education for girls between the ages of seven ...","Wellington Rd, Fallowfield, Manchester M14 6BL","100 Wellington Road, Fallowfield, Manchester, M14 6BL",53.4392294,-2.227008631,Girls (7 to 18),"GBP 10,338–13,779","GBP 12,500",No rating,All girls,717 (7-18),www.wgs.org,"Day K &pound 4,710 (11-18) includes lunch",,0,1,0,0,4710,14130,1,
34,34,St Olave's Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83686/table/34/st-olaves-grammar-school,Orpington,Selective (100%),32.2,73.3,94,3,88.6,5,State,St. Olave's Grammar School (formally St. Olave's and St. Saviour's Church of England Grammar School) (/ˈoʊlævz/ or /ˈɒlɪvz/) is a selective secondary school ...,"Goddington Ln, Orpington BR6 9SH","Goddington Lane, Orpington, Kent, BR6 9SH",51.3679793,0.104331219,Boys (11 to 18). Mixed sixth form,,,,,"1,075",www.saintolaves.net,,,1,0,1,0,0,0,1,
35,35,Pate's Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83679/table/34/pates-grammar-school,Cheltenham,Selective (100%),31.3,73.2,92.8,5,86.5,9,State,"Pate's Grammar School is a grammar school with academy status in Cheltenham, Gloucestershire, England. It caters for pupils aged 11 to 18.","Princess Elizabeth Way, Cheltenham GL51 0HG","Princess Elizabeth Way, Cheltenham, Gloucestershire, GL51 0HG",51.9057826,-2.117234627,Mixed (11 to 18). Mixed sixth form,,,,,"1,222",www.patesgs.org,,,0,0,1,1,0,0,1,
36,36,James Allen's Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82609/table/33/james-allens-girls-school,London,,32.2,73.2,90.8,33=,92.5,19=,Private,"An independent day school for girls aged 4 - 18 in Dulwich, London. ... James Allen's Girls' School ... Welcome to JAGS new Head Girl team Jenna, Emily and Gaby who ...","144 E Dulwich Grove, London SE22 8TE","144 East Dulwich Grove, Dulwich, London, SE22 8TE",51.4553248,-0.086547194,Girls (4 to 18),,,,,"1,127 (4-18)",www.jags.org.uk,"Day K &pound 6,615 (11-18)",,0,1,0,0,6615,19845,1,
37,37,Reading School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83687/table/34/reading-school,Reading,Selective (100%),35.5,73,91.4,8,86.3,10,State,"Reading School is a grammar school for boys with academy status in the English town of Reading, the county of Berkshire. It traces its history back to the ...","Erleigh Rd, Reading RG1 5LW","Erleigh Road, Reading, Berkshire, RG1 5LW",51.4494048,-0.954677758,Boys (11 to 18),,,Outstanding,All boys,"1,112",www.Reading-School.co.uk,,1,1,0,0,0,0,0,1,1
38,38,"University College School, Hampstead",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82597/table/33/university-college-school-hampstead,Hampstead,,28.9,72.4,90.8,33=,90.5,30,Private,University College School is a top academic London day-school and is located in Hampstead. It was founded by University College London in 1830 to promote ...,"University College School Junior Branch, 11 Holly Hill, London NW3 6QN","Frognal, Hampstead, Hampstead, NW3 6XH",51.55318245,-0.180419908,"Boys, mixed sixth (3 to 18). Mixed sixth form",,,,,935 (11-18),www.ucs.org.uk,"Day K &pound 7,297 (11-18) includes lunch",,1,0,1,0,7297,21891,1,
39,39,King Edward VI High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82522/table/33/king-edward-vi-high-school-for-girls,Birmingham,,30.3,72.2,92.1,27,94.6,13,Private,The school provides excellent facilities for approximately 570 girls of excellent academic ability from 11 to 18 years of age and is one of the country's ...,"King Edward VI High School for Girls, Edgbaston Park Rd, Birmingham B15 2UB","Edgbaston Park Road, Birmingham, B15 2UB",52.45093405,-1.92580111,Girls (11 to 18),,,,,630 (11-18),www.kehs.org.uk,"Day K &pound 4,759 (11-18)",,0,1,0,0,4759,14277,1,
40,40,The Manchester Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/81968/table/33/the-manchester-grammar-school,Manchester,,35.6,71.9,89.9,44=,89.9,34,Private,"The Manchester Grammar School (MGS) in Manchester, England, is the largest independent day school for boys in the United Kingdom. Founded in 1515 as a free ...","Old Hall Ln, Manchester M13 0XT","Old Hall Lane, Manchester, M13 0XT",53.4478788,-2.212220854,Boys (7 to 18),,,,,"1,640 (7-18)",www.mgs.org,"Day K &pound 4,460 (11-18)",,1,0,0,0,4460,13380,1,
41,41,Merchant Taylors' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82326/table/33/merchant-taylors-school,Northwood,,32,71.7,90.6,38=,88,41,Private,Merchant Taylors' School is a selective British independent public school for boys founded in 1561 in London. The school has occupied various campuses since ...,"Sandy Lodge, Moor Park, Northwood HA6 2HT","Sandy Lodge, Northwood, Middlesex, HA6 2HT",51.63456299,-0.427409125,Boys (11 to 18),"GBP 23,600–23,600","GBP 23,500",Excellent,All boys,929 (11-18),www.mtsn.org.uk,"Day K &pound 6,684 - K &pound 8,912 (11-18) includes lunch",,1,0,0,0,8912,26736,1,
42,42,Oxford High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82590/table/33/oxford-high-school-gdst,Oxford,,36,71.5,90,42=,90.6,28=,Private,"Oxford High School is an independent day school for girls in Oxford, England. It was founded by the Girls' Day School Trust in 1875, making it the city's oldest ...","High School, Belbroughton Rd, Oxford OX2 6XA","Belbroughton Road, Oxford, OX2 6XA",51.7735693,-1.259077165,Girls (4 to 18),,,,,798 (4-18),www.oxfordhigh.gdst.net,"Day K &pound 5,363 (11-18)",,0,1,0,0,5363,16089,1,
